price,location,bedrooms,toilet,garage,LT,LB
6080000000,"Wijaya, Jakarta Selatan",3.0,3.0,2.0,76.0,375.0
1900000000,"Sektor 1D-Gading Serpong, Tangerang",3.0,3.0,2.0,2.0,140.0
1200000000,"Ubung, Denpasar",2.0,1.0,1.0,114.0,60.0
495000000,"Cibaduyut, Bandung",2.0,1.0,1.0,60.0,50.0
2170000000,"Pulomas, Jakarta Timur",3.0,2.0,1.0,84.0,140.0
430000000,"Ciomas, Bogor",2.0,1.0,,78.0,52.0
780000000,"Parung, Bogor",2.0,2.0,,150.0,150.0
770000000,"Medan Satria, Bekasi",2.0,1.0,,65.0,45.0
1170000000,"Babakan Madang, Bogor",2.0,1.0,,90.0,70.0
2000000000,"Pondok Betung, Tangerang",4.0,3.0,1.0,355.0,144.0
1800000000,"Sukomanunggal, Surabaya",4.0,1.0,1.0,200.0,150.0
12000000000,"Cihanjuang, Bandung",10.0,9.0,6.0,1217.0,1217.0
810000000,"Cilebut, Bogor",2.0,1.0,,6.0,6.0
15000000000,"Sukajadi, Bandung",4.0,4.0,4.0,822.0,822.0
4900000000,"Green Mansion, Jakarta Barat",4.0,4.0,1.0,120.0,180.0
2280000000,"Bambu Apus, Jakarta Timur",3.0,3.0,2.0,90.0,110.0
5250000000,"Keramas, Gianyar",4.0,4.0,2.0,5.0,250.0
333000000,"Pengasih, Kulon Progo",2.0,1.0,1.0,95.0,50.0
940000000,"Rawalumbu, Bekasi",3.0,2.0,,123.0,50.0
